codigo_municipio,total_nascimentos,media_peso_gramas
230000,1,670.00
230010,149,3047.33
230015,184,3176.68
230020,969,3257.04
230030,519,3172.36
230040,163,3193.85
230050,129,3168.68
230060,120,2973.53
230070,178,3244.27
230075,658,3273.40
230080,97,3171.43
230090,139,3151.91
230100,1069,3199.87
230110,866,3170.77
230120,301,3156.94
230125,153,3205.76
230130,298,2997.52
230140,144,3141.55
230150,75,3198.28
230160,259,3111.63
230170,301,3148.27
230180,46,3245.04
230185,203,3126.62
230190,1111,3034.59
230195,265,3194.85
230200,207,3140.08
230205,209,3169.41
230210,444,3174.69
230220,569,3191.94
230230,356,3229.85
230240,565,3198.13
230250,705,3052.34
230260,894,3165.62
230270,366,3095.96
230280,1018,3205.98
230290,234,3239.19
230300,195,3202.87
230310,207,3176.08
230320,383,3093.63
230330,196,3183.82
230340,238,3114.05
230350,888,3220.55
230360,127,3234.44
230365,100,3247.46
230370,4789,3194.99
230380,264,3167.38
230390,151,3165.20
230393,147,3197.91
230395,190,3068.46
230400,266,3150.71
230410,926,3156.40
230420,1884,3015.96
230423,210,3200.05
230425,438,3242.24
230426,88,3197.27
230427,54,3241.78
230428,1102,3239.35
230430,195,3081.13
230435,240,3163.55
230440,29675,3192.78
230445,214,3171.79
230450,232,3132.76
230460,96,3275.05
230465,146,3178.29
230470,722,3179.20
230480,60,3078.83
230490,114,3313.60
230495,258,3159.29
230500,594,3155.55
230510,74,3239.12
230520,231,3166.42
230523,1049,3188.66
230526,165,3123.01
230530,384,3139.65
230533,114,3108.16
230535,201,3191.89
230540,656,3188.06
230550,1169,3145.57
230560,295,3163.37
230565,133,3216.10
230570,120,3215.42
230580,544,3194.57
230590,452,3146.80
230600,135,3157.47
230610,330,3166.69
230620,68,3114.62
230625,686,3187.79
230630,558,3197.65
230640,2045,3206.13
230650,182,3160.29
230655,632,3305.87
230660,247,3219.43
230670,206,3178.28
230680,122,3271.05
230690,367,3255.50
230700,304,3189.11
230710,352,3090.77
230720,93,3144.30
230725,393,3271.31
230730,3634,3068.04
230740,297,3157.61
230750,287,3145.05
230760,698,3199.88
230763,178,3195.48
230765,3658,3208.87
230770,1189,3204.68
230780,530,3271.61
230790,190,3207.19
230800,514,3199.93
230810,665,3089.89
230820,174,3164.98
230830,353,3104.71
230835,144,3171.94
230837,152,3138.64
230840,565,3045.56
230850,430,3135.45
230860,189,3223.07
230870,686,3216.91
230880,114,3117.05
230890,330,3255.13
230900,186,3137.57
230910,116,3071.82
230920,226,3088.81
230930,338,3233.60
230940,312,3162.87
230945,245,3084.24
230950,222,3136.61
230960,889,3213.48
230970,1049,3193.44
230980,123,3243.60
230990,80,3211.10
231000,98,3097.99
231010,82,3252.51
231020,540,3184.85
231025,449,3167.14
231030,446,3195.76
231040,121,3292.34
231050,404,3123.01
231060,131,3121.25
231070,436,3144.37
231080,178,3073.08
231085,269,3187.59
231090,145,3083.17
231095,110,3292.02
231100,126,3112.29
231110,260,3167.77
231120,103,3038.55
231123,78,3191.23
231126,229,3128.51
231130,1212,3192.88
231135,177,3112.14
231140,1093,3166.14
231150,266,3205.04
231160,359,3197.94
231170,226,3203.79
231180,908,3183.47
231190,145,3284.83
231195,314,3054.25
231200,368,3200.15
231210,230,3019.56
231220,453,3251.50
231230,763,3118.32
231240,829,3194.33
231250,36,3141.64
231260,111,3155.03
231270,266,3101.28
231280,93,3184.27
231290,2776,3130.36
231300,169,3231.91
231310,313,3281.38
231320,344,3185.27
231325,78,2995.65
231330,706,3176.28
231335,224,3186.28
231340,1357,3144.89
231350,821,3198.07
231355,249,3119.51
231360,458,3158.32
231370,73,3204.53
231375,246,3179.24
231380,311,3212.37
231390,173,3194.12
231395,259,3199.05
231400,404,3099.02
231410,868,3167.65
